総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	男子	女子	年齢区分	年齡別順
51	3002	池原 仁	30	男	沖縄県	2:33:13	0:28:03	0:02:58	1:15:46	0:46:26	48		30-34男子	7
52	2056	茂山 和生	47	男	沖縄県	2:33:23	0:29:44	0:04:57	1:15:23	0:43:19	49		45-49男子	8
53	6	富崎 義明	58	男	沖縄県	2:33:28	0:25:33	0:02:43	1:17:10	0:48:02	50		55-59男子	2
54	2115	野田 慎一朗	50	男	福岡県	2:33:45	0:27:31	0:03:05	1:12:04	0:51:05	51		50-54男子	5
55	3039	竹内 智哉	42	男	三重県	2:33:56	0:26:51	0:02:56	1:09:03	0:55:06	52		40-44男子	11
56	15	粂原 法子	38	女	東京都	2:33:58	0:28:41	0:02:41	1:12:20	0:50:16		4	35-39女子	1
57	49	中村 正明	41	男	東京都	2:34:19	0:20:56	0:03:05	1:18:01	0:52:17	53		40-44男子	12
58	3022	松山 昌司	38	男	東京都	2:34:20	0:27:25	0:02:52	1:15:02	0:49:01	54		35-39男子	6
59	2045	中林 航大	30	男	福岡県	2:34:24	0:28:46	0:02:22	1:05:31	0:57:45	55		30-34男子	8
60	3015	香川 昌規	53	男	東京都	2:34:41	0:27:43	0:03:30	1:12:53	0:50:35	56		50-54男子	6
61	52	山川 泰明	42	男	高知県	2:34:45	0:21:38	0:02:55	1:16:31	0:53:41	57		40-44男子	13
62	2076	桐生 悠平	46	男	沖縄県	2:34:51	0:26:57	0:03:29	1:15:51	0:48:34	58		45-49男子	9
63	60	田中 康志	48	男	東京都	2:34:52	0:23:54	0:02:36	1:16:02	0:52:20	59		45-49男子	10
64	2001	五百蔵 春良	23	男	学連	2:35:09	0:24:42	0:02:47	1:12:50	0:54:50	60		20-24男子	7
65	2005	龍頭 正浩	57	男	福岡県	2:35:36	0:28:03	0:03:07	1:11:14	0:53:12	61		55-59男子	3
66	3052	山本 雄一郎	52	男	神奈川県	2:35:51	0:26:32	0:02:52	1:12:18	0:54:09	62		50-54男子	7
67	2037	松浦 潤	55	男	茨城県	2:35:55	0:29:19	0:02:59	1:15:58	0:47:39	63		55-59男子	4
68	46	嶋谷 圭司	54	男	大阪府	2:36:15	0:22:51	0:02:25	1:09:27	1:01:32	64		50-54男子	8
69	16	入江 紘子	35	女	沖縄県	2:36:32	0:20:16	0:02:05	1:21:46	0:52:25		5	35-39女子	2
70	2014	小嶋 隆三	41	男	静岡県	2:36:36	0:28:55	0:03:08	1:13:02	0:51:31	65		40-44男子	14
71	2079	Lopez Daniela	38	女	沖縄県	2:36:57	0:24:17	0:02:26	1:16:58	0:53:16		6	35-39女子	3
72	3050	丸岡 正和	50	男	大阪府	2:37:35	0:28:56	0:02:45	1:10:31	0:55:23	66		50-54男子	9
73	3097	赤石 直之	43	男	沖縄県	2:38:02	0:31:01	0:04:46	1:10:18	0:51:57	67		40-44男子	15
74	104	山川 雅之	60	男	東京都	2:38:04	0:27:10	0:02:47	1:12:18	0:55:49	68		60-64男子	1
75	3114	唐木 誠	50	男	福岡県	2:38:12	0:28:53	0:03:39	1:15:12	0:50:28	69		50-54男子	10
76	3076	北島 雄人	27	男	千葉県	2:38:30	0:29:32	0:05:29	1:13:09	0:50:20	70		25-29男子	6
77	72	山田 宏一	51	男	東京都	2:38:54	0:24:17	0:04:03	1:14:17	0:56:17	71		50-54男子	11
78	77	中島 秀彰	61	男	東京都	2:39:05	0:29:30	0:02:47	1:15:41	0:51:07	72		60-64男子	2
79	4101	浅本 勝一	57	男	大阪府	2:39:46	0:31:23	0:03:29	1:08:54	0:56:00	73		55-59男子	5
80	4022	Gamon Kenneth	49	男	沖縄県	2:39:49	0:27:09	0:03:03	1:12:52	0:56:45	74		45-49男子	11
81	2105	萩野 圭一	54	男	東京都	2:39:53	0:28:56	0:04:30	1:15:32	0:50:55	75		50-54男子	12
82	2053	佐々木 周	46	男	東京都	2:39:58	0:28:20	0:03:28	1:14:20	0:53:50	76		45-49男子	12
83	3033	平良 慎吾	36	男	沖縄県	2:40:20	0:30:38	0:04:27	1:12:30	0:52:45	77		35-39男子	7
84	101	若穂囲 貴之	48	男	東京都	2:40:45	0:22:53	0:03:37	1:17:10	0:57:05	78		45-49男子	13
85	5108	青木 幸則	54	男	愛知県	2:40:50	0:31:46	0:04:53	1:14:45	0:49:26	79		50-54男子	13
86	2114	海瀬 隆太郎	50	男	和歌山県	2:41:02	0:25:17	0:03:05	1:17:46	0:54:54	80		50-54男子	14
87	2101	斎藤 安弘	60	男	東京都	2:41:06	0:26:30	0:03:05	1:18:06	0:53:25	81		60-64男子	3
88	2113	石田 太平	46	男	東京都	2:41:18	0:28:53	0:04:07	1:17:42	0:50:36	82		45-49男子	14
89	4076	岸本 恵樹	47	男	沖縄県	2:41:24	0:29:19	0:03:07	1:17:09	0:51:49	83		45-49男子	15
90	66	松尾 勝己	53	男	東京都	2:41:47	0:26:08	0:03:00	1:13:08	0:59:31	84		50-54男子	15
91	3118	住友 一	51	男	神奈川県	2:41:50	0:29:48	0:03:33	1:14:48	0:53:41	85		50-54男子	16
92	2032	倉原 未波	27	女	熊本県	2:41:52	0:25:54	0:06:03	1:18:00	0:51:55		7	25-29女子	1
93	2104	永瀬 達也	46	男	東京都	2:41:55	0:27:52	0:03:31	1:16:50	0:53:42	86		45-49男子	16
94	56	池田 徳郎	55	男	宮崎県	2:41:56	0:23:57	0:02:54	1:16:54	0:58:11	87		55-59男子	6
95	9	松山 義範	49	男	沖縄県	2:42:00	0:30:17	0:03:03	1:13:53	0:54:47	88		45-49男子	17
96	2047	山内 晴貴	32	男	佐賀県	2:42:01	0:25:18	0:04:51	1:15:09	0:56:43	89		30-34男子	9
97	2026	亀田 行康	51	男	福岡県	2:42:03	0:27:15	0:03:15	1:15:41	0:55:52	90		50-54男子	17
98	2081	佐藤 優	41	男	福岡県	2:42:03	0:26:58	0:04:37	1:13:27	0:57:01	91		40-44男子	16
99	2108	谷川 真由子	60	女	東京都	2:42:16	0:29:18	0:03:18	1:17:35	0:52:05		8	60-64女子	1
100	81	加藤 知子	55	女	東京都	2:42:26	0:24:45	0:03:16	1:20:00	0:54:25		9	55-59女子	1
101	2016	藤倉 充裕	61	男	東京都	2:42:32	0:23:56	0:03:11	1:15:02	1:00:23	92		60-64男子	4
102	3058	古山 清人	52	男	神奈川県	2:42:39	0:28:09	0:02:56	1:14:48	0:56:46	93		50-54男子	18
103	2038	大石 一郎	56	男	沖縄県	2:43:23	0:26:31	0:03:17	1:13:09	1:00:26	94		55-59男子	7
104	3070	渡邊 誉大	31	男	愛知県	2:43:46	0:32:28	0:04:52	1:11:34	0:54:52	95		30-34男子	10
105	6023	角田 直哉	37	男	埼玉県	2:43:52	0:31:21	0:03:33	1:17:45	0:51:13	96		35-39男子	8
106	6028	名越 亮太	39	男	東京都	2:44:05	0:28:02	0:04:18	1:14:06	0:57:39	97		35-39男子	9
107	6112	山崎 翔平	32	男	東京都	2:44:13	0:29:23	0:04:48	1:16:51	0:53:11	98		30-34男子	11
108	3048	北留 克俊	49	男	石川県	2:44:13	0:32:31	0:04:27	1:15:28	0:51:47	99		45-49男子	18
109	4033	水書 淳一郎	26	男	東京都	2:44:27	0:32:28	0:05:15	1:14:09	0:52:35	100		25-29男子	7
110	2088	桑原 天斗	21	男	沖縄県	2:44:37	0:27:57	0:03:18	1:15:06	0:58:16	101		20-24男子	8
111	3083	松田 佳祐	33	男	長野県	2:45:04	0:27:17	0:06:12	1:20:56	0:50:39	102		30-34男子	12
112	3008	吉野 公貴	47	男	東京都	2:45:23	0:31:19	0:02:39	1:20:37	0:50:48	103		45-49男子	19
113	2120	金子 和矢	56	男	神奈川県	2:45:28	0:27:11	0:03:28	1:19:53	0:54:56	104		55-59男子	8
114	2046	佐藤 優光	32	男	神奈川県	2:45:55	0:26:27	0:02:51	1:16:03	1:00:34	105		30-34男子	13
115	7005	長橋 源太	49	男	沖縄県	2:46:04	0:28:50	0:03:45	1:20:07	0:53:22	106		45-49男子	20
116	8	近藤 功一	47	男	沖縄県	2:46:19	0:28:57	0:02:42	1:15:52	0:58:48	107		45-49男子	21
117	82	山内 実優	28	女	佐賀県	2:46:33	0:26:42	0:02:47	1:23:00	0:54:04		10	25-29女子	2
118	6059	川田 真希	53	女	東京都	2:46:36	0:30:08	0:04:22	1:16:33	0:55:33		11	50-54女子	1
119	5068	小松 尚人	54	男	埼玉県	2:46:39	0:30:19	0:04:02	1:14:50	0:57:28	108		50-54男子	19
120	8026	西宮 正人	43	男	神奈川県	2:46:44	0:30:21	0:05:05	1:20:14	0:51:04	109		40-44男子	17
121	3082	田所 政毅	31	男	東京都	2:46:57	0:34:32	0:03:14	1:17:33	0:51:38	110		30-34男子	14
122	2021	野崎 悠太	35	男	東京都	2:47:01	0:25:53	0:03:03	1:22:35	0:55:30	111		35-39男子	10
123	5111	齋藤 稔	55	男	静岡県	2:47:03	0:28:58	0:04:59	1:18:12	0:54:54	112		55-59男子	9
124	4053	呉 越	42	男	京都府	2:47:06	0:29:23	0:03:22	1:17:04	0:57:17	113		40-44男子	18
125	3067	高岡 稔	44	男	東京都	2:47:06	0:32:15	0:05:29	1:15:46	0:53:36	114		40-44男子	19
126	95	黒羽 美登里	62	女	東京都	2:47:11	0:29:33	0:03:29	1:21:38	0:52:31		12	60-64女子	2
127	2007	江村 豊和	48	男	沖縄県	2:47:17	0:23:08	0:04:25	1:13:46	1:05:58	115		45-49男子	22
128	3021	豊田 翔大	36	男	千葉県	2:47:28	0:29:21	0:03:32	1:18:18	0:56:17	116		35-39男子	11
129	3036	Hutchinson Nathaniel	41	男	UNITED STATES	2:47:36	0:27:58	0:04:27	1:18:36	0:56:35	117		40-44男子	20
130	6116	増原 雄太郎	37	男	東京都	2:47:45	0:33:14	0:02:54	1:19:22	0:52:15	118		35-39男子	12
131	3117	飯野 宗一郎	51	男	神奈川県	2:47:48	0:29:41	0:03:18	1:18:36	0:56:13	119		50-54男子	20
132	3040	大浜 幸司	44	男	沖縄県	2:48:00	0:32:00	0:04:48	1:19:01	0:52:11	120		40-44男子	21
133	2083	南原 俊雄	59	男	愛知県	2:48:04	0:26:13	0:04:28	1:16:45	1:00:38	121		55-59男子	10
134	4113	久保田 文	60	女	沖縄県	2:48:20	0:29:53	0:04:17	1:19:22	0:54:48		13	60-64女子	3
135	8036	坂村 哲也	53	男	東京都	2:48:21	0:32:20	0:05:24	1:14:17	0:56:20	122		50-54男子	21
136	2061	石田 雅彦	53	男	東京都	2:48:22	0:28:11	0:04:53	1:19:32	0:55:46	123		50-54男子	22
137	37	鎌倉 寛人	38	男	神奈川県	2:48:27	0:25:19	0:04:26	1:21:38	0:57:04	124		35-39男子	13
138	2003	木村 修大	40	男	大阪府	2:48:32	0:30:36	0:03:17	1:16:34	0:58:05	125		40-44男子	22
139	69	白井 稔	53	男	大阪府	2:48:37	0:25:31	0:02:58	1:16:07	1:04:01	126		50-54男子	23
140	2102	原田 皓生	38	男	熊本県	2:48:51	0:33:24	0:05:08	1:17:29	0:52:50	127		35-39男子	14
141	4050	井原 隆	41	男	埼玉県	2:49:07	0:30:01	0:04:07	1:22:23	0:52:36	128		40-44男子	23
142	6101	齋藤 雅英	37	男	神奈川県	2:49:08	0:35:56	0:03:57	1:20:47	0:48:28	129		35-39男子	15
143	3075	東江 圭祐	22	男	学連	2:49:13	0:32:32	0:03:12	1:21:25	0:52:04	130		20-24男子	9
144	2123	前田 晃	63	男	滋賀県	2:49:14	0:28:19	0:04:21	1:16:22	1:00:12	131		60-64男子	5
145	83	岸本 哲嘉	67	男	京都府	2:49:17	0:24:59	0:02:55	1:18:58	1:02:25	132		65-69男子	1
146	4004	千々和 崇	61	男	福岡県	2:49:19	0:28:32	0:04:04	1:19:27	0:57:16	133		60-64男子	6
147	4105	上林 肇	57	男	東京都	2:49:24	0:33:29	0:04:16	1:21:41	0:49:58	134		55-59男子	11
148	4099	福田 隆史	56	男	東京都	2:49:40	0:30:41	0:05:08	1:14:28	0:59:23	135		55-59男子	12
149	2073	平田 泰久	62	男	三重県	2:49:51	0:26:14	0:03:07	1:15:38	1:04:52	136		60-64男子	7
150	2107	西 理広	44	男	東京都	2:49:58	0:31:42	0:05:56	1:19:47	0:52:33	137		40-44男子	24
151	2072	大杉 竜哉	52	男	大阪府	2:50:05	0:29:56	0:04:42	1:16:37	0:58:50	138		50-54男子	24
152	2034	長野 庄貴	43	男	沖縄県	2:50:25	0:25:57	0:03:57	1:24:09	0:56:22	139		40-44男子	25
153	2008	兒玉 龍	47	男	茨城県	2:50:54	0:24:39	0:03:14	1:19:24	1:03:37	140		45-49男子	23
154	3121	篠原 三陽	52	女	神奈川県	2:51:03	0:29:07	0:04:23	1:21:57	0:55:36		14	50-54女子	2
155	5006	赤川 玄樹	46	男	神奈川県	2:51:11	0:34:42	0:04:13	1:17:02	0:55:14	141		45-49男子	24
156	3057	日下部 奈央子	46	女	東京都	2:51:20	0:30:28	0:03:25	1:19:28	0:57:59		15	45-49女子	1
157	9050	谷川 浩樹	36	男	徳島県	2:51:22	0:35:13	0:04:46	1:22:16	0:49:07	142		35-39男子	16
158	5121	小澤 真理子	58	女	富山県	2:51:26	0:32:25	0:02:50	1:19:37	0:56:34		16	55-59女子	2
159	3043	高野 毅	47	男	東京都	2:51:34	0:29:11	0:06:47	1:22:25	0:53:11	143		45-49男子	25
160	2025	佐々木 賢	45	男	東京都	2:51:36	0:24:44	0:04:55	1:13:09	1:08:48	144		45-49男子	26
161	5067	奥村 和宏	58	男	京都府	2:51:41	0:31:49	0:04:39	1:17:05	0:58:08	145		55-59男子	13
162	21	大貫 千春	58	女	茨城県	2:51:43	0:30:20	0:03:39	1:24:00	0:53:44		17	55-59女子	3
163	4118	鈴木 隆弘	63	男	愛知県	2:51:52	0:31:29	0:04:04	1:23:48	0:52:31	146		60-64男子	8
164	3074	仲宗根 一郎	56	男	神奈川県	2:52:35	0:30:56	0:04:57	1:18:33	0:58:09	147		55-59男子	14
165	24	中軽米 恵子	60	女	埼玉県	2:52:43	0:29:47	0:02:54	1:25:14	0:54:48		18	60-64女子	4
166	7020	蒲原 史也	22	男	沖縄県	2:52:58	0:29:14	0:02:59	1:24:39	0:56:06	148		20-24男子	10
167	76	大石 尾張	57	男	東京都	2:53:17	0:25:44	0:03:32	1:18:45	1:05:16	149		55-59男子	15
168	2106	松田 尚也	68	男	京都府	2:53:19	0:28:11	0:04:05	1:20:17	1:00:46	150		65-69男子	2
169	4018	箸尾 朋弥	30	男	大阪府	2:53:35	0:31:37	0:04:09	1:20:33	0:57:16	151		30-34男子	15
170	2122	松井 洋子	60	女	東京都	2:53:37	0:29:15	0:03:41	1:23:06	0:57:35		19	60-64女子	5
171	44	久保 栄克	51	男	沖縄県	2:53:38	0:23:52	0:04:20	1:28:25	0:57:01	152		50-54男子	25
172	2111	北島 圭亮	42	男	東京都	2:53:45	0:28:05	0:04:53	1:17:57	1:02:50	153		40-44男子	26
173	3095	千葉 拓也	41	男	東京都	2:53:56	0:34:37	0:03:24	1:16:47	0:59:08	154		40-44男子	27
174	2080	牟禮 則綱	67	男	鹿児島県	2:53:59	0:26:43	0:03:23	1:22:28	1:01:25	155		65-69男子	3
175	5031	岩田 康志	60	男	京都府	2:54:01	0:30:57	0:04:31	1:19:49	0:58:44	156		60-64男子	9
176	7011	佐々 竜太郎	48	男	東京都	2:54:07	0:30:50	0:04:31	1:25:37	0:53:09	157		45-49男子	27
177	107	廣瀬 真美	50	女	兵庫県	2:54:14	0:23:21	0:05:31	1:25:21	1:00:01		20	50-54女子	3
178	5089	田口 義隆	63	男	岐阜県	2:54:16	0:33:49	0:05:39	1:31:19	0:43:29	158		60-64男子	10
179	3060	畑野 仁一	60	男	東京都	2:54:16	0:33:30	0:05:04	1:20:03	0:55:39	159		60-64男子	11
180	88	塩谷 浩二	66	男	福岡県	2:54:22	0:26:25	0:03:51	1:18:50	1:05:16	160		65-69男子	4
181	58	金井 由光	56	男	東京都	2:55:06	0:25:48	0:03:55	1:20:50	1:04:33	161		55-59男子	16
182	5065	紙谷 雄介	38	男	東京都	2:55:13	0:32:33	0:04:45	1:17:39	1:00:16	162		35-39男子	17
183	9060	尾上 史晃	46	男	東京都	2:55:26	0:26:37	0:04:45	1:29:11	0:54:53	163		45-49男子	28
184	4012	小宅 錬	71	男	秋田県	2:55:35	0:29:19	0:03:53	1:20:40	1:01:43	164		70-74男子	1
185	3130	赤瀬 一夫	55	男	東京都	2:55:40	0:31:23	0:05:59	1:17:34	1:00:44	165		55-59男子	17
186	3020	Komiya Masayuki	34	男	東京都	2:55:41	0:28:11	0:05:24	1:24:50	0:57:16	166		30-34男子	16
187	4029	鈴木 紗穂	39	女	埼玉県	2:55:41	0:31:12	0:07:06	1:26:39	0:50:44		21	35-39女子	4
188	3094	田村 大介	40	男	大阪府	2:55:44	0:31:57	0:05:04	1:19:45	0:58:58	167		40-44男子	28
189	4034	小林 虹太	28	男	沖縄県	2:55:56	0:30:20	0:04:05	1:24:30	0:57:01	168		25-29男子	8
190	5056	今泉 瑞希	31	女	静岡県	2:56:02	0:33:02	0:04:55	1:15:37	1:02:28		22	30-34女子	1
191	2099	坂田 千代次	59	男	千葉県	2:56:03	0:29:50	0:03:51	1:22:13	1:00:09	169		55-59男子	18
192	4117	中野 誠	62	男	神奈川県	2:56:29	0:31:58	0:04:16	1:23:25	0:56:50	170		60-64男子	12
193	3105	柴 達也	47	男	東京都	2:56:32	0:32:56	0:04:26	1:18:21	1:00:49	171		45-49男子	29
194	8025	吉住 和洋	43	男	静岡県	2:56:34	0:35:14	0:04:44	1:18:57	0:57:39	172		40-44男子	29
195	2117	平野 龍一	53	男	東京都	2:56:36	0:28:51	0:03:29	1:17:52	1:06:24	173		50-54男子	26
196	3041	Williams Jacob	45	男	東京都	2:56:38	0:31:12	0:05:13	1:19:50	1:00:23	174		45-49男子	30
197	4107	伊藤 雄介	58	男	愛知県	2:56:39	0:36:12	0:04:04	1:21:38	0:54:45	175		55-59男子	19
198	2002	星野 達也	60	男	東京都	2:56:41	0:23:33	0:03:50	1:22:44	1:06:34	176		60-64男子	13
199	2070	久保本 楓花	22	女	学連	2:56:46	0:29:09	0:03:33	1:24:04	1:00:00		23	20-24女子	1
200	3112	渡部 功治	50	男	兵庫県	2:56:48	0:32:35	0:03:14	1:22:04	0:58:55	177		50-54男子	27
201	2065	後藤 太郎	55	男	沖縄県	2:56:50	0:28:41	0:06:08	1:19:53	1:02:08	178		55-59男子	20
202	2116	森田 俊平	50	男	東京都	2:56:55	0:29:21	0:04:07	1:21:47	1:01:40	179		50-54男子	28
203	2050	日浦 康博	41	男	沖縄県	2:57:25	0:32:11	0:03:28	1:21:24	1:00:22	180		40-44男子	30
204	3100	日生 麻美	44	女	大阪府	2:57:33	0:30:23	0:03:57	1:22:01	1:01:12		24	40-44女子	1
205	7088	奥田 恭平	40	男	沖縄県	2:57:40	0:29:17	0:05:16	1:27:46	0:55:21	181		40-44男子	31
206	90	佐藤 周平	72	男	東京都	2:57:47	0:29:40	0:04:02	1:25:01	0:59:04	182		70-74男子	2
207	3115	上岡 里美	51	女	東京都	2:57:52	0:32:57	0:03:03	1:29:33	0:52:19		25	50-54女子	4
208	3066	小林 篤紀	42	男	愛知県	2:58:08	0:30:04	0:11:37	1:19:40	0:56:47	183		40-44男子	32
209	10	境 勉	61	男	東京都	2:58:11	0:29:53	0:02:14	1:14:44	1:11:20	184		60-64男子	14
210	3131	渡辺 信	56	男	沖縄県	2:58:22	0:33:38	0:06:01	1:17:49	1:00:54	185		55-59男子	21
211	3073	ｹﾝ ｳｪﾀﾞｰﾘﾙ	54	男	沖縄県	2:58:22	0:25:42	0:03:51	1:20:45	1:08:04	186		50-54男子	29
212	4081	宮前 俊介	50	男	大阪府	2:58:24	0:33:32	0:04:02	1:17:54	1:02:56	187		50-54男子	30
213	5045	尾崎 正宏	48	男	埼玉県	2:58:25	0:32:55	0:04:59	1:24:31	0:56:00	188		45-49男子	31
214	2058	久保 拓也	51	男	沖縄県	2:58:35	0:27:27	0:03:04	1:40:04	0:48:00	189		50-54男子	31
215	4060	草深 悠介	44	男	大阪府	2:58:43	0:29:49	0:04:15	1:21:19	1:03:20	190		40-44男子	33
216	3054	上野山 努	56	男	大阪府	2:58:44	0:28:07	0:04:42	1:25:37	1:00:18	191		55-59男子	22
217	7026	横山 聡哉	33	男	神奈川県	2:58:45	0:30:23	0:04:37	1:26:06	0:57:39	192		30-34男子	17
218	3088	島 貴彬	35	男	東京都	2:58:48	0:29:41	0:04:53	1:25:43	0:58:31	193		35-39男子	18
219	8012	畠山 馨	19	男	学連	2:58:49	0:32:11	0:04:02	1:20:29	1:02:07	194		10代男子	1
220	3031	石橋 剛	70	男	大阪府	2:59:07	0:30:12	0:03:41	1:24:13	1:01:01	195		70-74男子	3
221	4075	吉田 涼二	47	男	三重県	2:59:13	0:31:40	0:02:47	1:23:15	1:01:31	196		45-49男子	32
222	6019	天野 遼太郎	28	男	東京都	2:59:25	0:37:08	0:05:21	1:23:11	0:53:45	197		25-29男子	9
223	2051	KWOK Gerry	45	男	HONG KONG	2:59:25	0:27:46	0:05:09	1:18:56	1:07:34	198		45-49男子	33
