Pos	StartNum	Name	Affiliation	YOB	U23	Time	Swim	T1	Bike	T2	Split	Run
35	37	油井 あまね	神奈川県トライアスロン連合	1999		2:11:25	0:22:57	0:01:04	1:05:33	0:00:47	1:30:21	0:41:04
36	43	近藤 小夏	日本体育大学	2002	18	2:11:39	0:20:46	0:01:00	1:04:58	0:00:32	1:27:16	0:44:23
37	30	河野 典子	大阪府トライアスロン協会	1993		2:12:25	0:22:57	0:00:54	1:05:48	0:00:31	1:30:10	0:42:15
38	32	上畑 真彩	九州共立大学	2004	19	2:13:11	0:21:38	0:00:56	1:07:07	0:00:27	1:30:08	0:43:03
39	40	平下 心	大阪府トライアスロン協会	1982		2:13:28	0:20:15	0:01:04	1:07:03	0:00:37	1:28:59	0:44:29
40	51	薬師 かれん	プエンテ/神奈川	1993		2:13:49	0:21:35	0:00:54	1:07:08	0:00:33	1:30:10	0:43:39
41	57	野田 優	和歌山県トライアスロン連合	1998		2:14:07	0:21:53	0:01:03	1:06:42	0:00:37	1:30:15	0:43:52
42	47	小山 菫	東海大学	2002	20	2:14:10	0:22:20	0:00:58	1:06:23	0:00:51	1:30:32	0:43:38
43	56	長島 実桜	京都府トライアスロン協会	2000		2:14:11	0:20:48	0:01:03	1:06:33	0:00:35	1:28:59	0:45:12
44	50	木谷 唯花	立命館大学	2004	21	2:14:29	0:20:21	0:01:02	1:06:57	0:00:39	1:28:59	0:45:30
45	49	舩木 果南	日本体育大学	2002	22	2:15:52	0:19:35	0:01:07	1:07:37	0:00:36	1:28:55	0:46:57
46	20	江口 沙和	埼玉栄高校・プリメーラ/埼玉	2006	23	2:17:32	0:20:26	0:00:59	1:06:59	0:00:46	1:29:10	0:48:22
47	48	小野 梨花	九州女子大学・TRASOL	2004	24	2:20:08	0:20:24	0:01:06	1:08:13	0:00:37	1:30:20	0:49:48
48	59	山下 甘紅香	日本体育大学	2004	25	2:20:50	0:22:57	0:01:02	1:05:45	0:00:39	1:30:23	0:50:27
49	53	竹内 愛	東京都トライアスロン連合	1996		2:21:51	0:21:35	0:01:06	1:07:03	0:00:45	1:30:29	0:51:22
LAP	29	北條 碧	埼玉県トライアスロン連合	1994			0:22:24	0:01:40				
LAP	31	正垣 水梨	日本体育大学	2005			0:22:58	0:01:00				
LAP	41	松本 由衣	福岡県トライアスロン協会	1991			0:22:58	0:01:05				
LAP	42	高木 実穂	長野県トライアスロン協会	1997			0:25:32	0:01:15				
LAP	46	川本 悠乃	関西学院大学	2002			0:20:31	0:00:58				
LAP	52	中村 寧花	九州大学	2003			0:23:21	0:01:02				
LAP	54	髙橋 実結	日本体育大学	2006			0:20:49	0:00:56				
LAP	58	岡本 真依	東北大学	2002			0:21:31	0:01:00				
DNF	45	酒井 優真	流通経済大学	2004			0:20:07	0:00:47				
DNS	7	井出 樹里	鹿児島県トライアスロン協会	1983								
