総合順位	No.	氏名	カナ	年齢	性別	総合記録	ラン1ラップ	R1順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ラン2ラップ	R2順	年代区分	年代順位
76	134	滝沢 見世子	ﾀｷｻﾞﾜ ﾐﾖｺ	68	女	3:26:21	0:10:05	79	0:02:53	53	1:38:53	75	1:51:51	75	0:04:03	61	1:30:27	76	女子65歳以上	1
77	1290	斉藤 亮太	ｻｲﾄｳ ﾘｮｳﾀ	25	男	2:08:26	0:05:55	56	0:01:21	8	1:08:43	79	1:15:59	64	0:01:42	23	0:50:45	132	男子25-29歳	7
77	153	伏見 英	ﾌｼﾐ ﾊﾅ	32	女	3:29:10	0:09:49	77	0:04:59	81	1:46:04	80	2:00:52	80	0:04:31	67	1:23:47	73	女子30-34歳	11
78	1617	松尾 剛之	ﾏﾂｵ ﾀｹﾕｷ	34	男	2:08:33	0:06:21	126	0:01:48	84	1:05:58	33	1:14:07	39	0:01:50	40	0:52:36	180	男子30-34歳	12
78	136	棚網 恵理	ﾀﾅｱﾐ ｴﾘ	47	女	3:30:22	0:09:39	72	0:05:50	82	1:36:44	72	1:52:13	76	0:05:59	79	1:32:10	77	女子45-49歳	10
79	1527	羽賀 秀幸	ﾊｶﾞ ﾋﾃﾞﾕｷ	51	男	2:08:40	0:06:50	230	0:02:51	449	1:09:22	101	1:19:03	123	0:03:34	461	0:46:03	42	男子50-54歳	7
79	162	村岸 美由貴	ﾑﾗｷﾞｼ ﾐﾕｷ	49	女	3:41:29	0:09:46	75	0:04:49	80	1:39:09	76	1:53:44	78	0:08:22	80	1:39:23	80	女子45-49歳	11
80	1139	大槻 成弘	ｵｵﾂｷ ｼｹﾞﾋﾛ	48	男	2:08:52	0:06:06	87	0:02:20	254	1:10:20	122	1:18:46	118	0:03:39	484	0:46:27	52	男子45-49歳	10
80	105	市川 朋子	ｲﾁｶﾜ ﾄﾓｺ	53	女	3:57:11	0:12:51	82	0:03:25	64	2:01:22	82	2:17:38	82	0:02:30	16	1:37:03	79	女子50-54歳	9
81	1550	原田 哲弥	ﾊﾗﾀ ﾃﾂﾔ	35	男	2:08:54	0:06:13	103	0:01:34	41	1:03:53	14	1:11:40	18	0:01:57	58	0:55:17	253	男子35-39歳	7
82	1359	鈴木 秀人	ｽｽﾞｷ ﾋﾃﾞﾄ	34	男	2:08:58	0:05:41	42	0:02:12	209	1:14:05	214	1:21:58	185	0:03:37	475	0:43:23	24	男子30-34歳	13
83	1175	賀川 尚樹	ｶｶﾞﾜ ﾅｵｷ	22	男	2:09:06	0:05:32	25	0:01:33	39	1:10:53	140	1:17:58	97	0:01:52	49	0:49:16	97	男子24歳以下	31
84	1772	山村 泰斗	ﾔﾏﾑﾗ ﾀｲﾄ	20	男	2:09:06	0:06:17	117	0:02:00	130	1:09:40	108	1:17:57	96	0:01:59	63	0:49:10	93	男子24歳以下	32
85	1471	中河 勇真	ﾅｶｶﾞﾜ ﾕｳﾏ	39	男	2:09:15	0:06:31	149	0:01:48	84	1:04:58	25	1:13:17	31	0:02:18	123	0:53:40	208	男子35-39歳	8
86	1432	玉田 健次	ﾀﾏﾀﾞ ｹﾝｼﾞ	32	男	2:09:22	0:05:49	46	0:03:45	625	1:13:34	202	1:23:08	213	0:03:59	539	0:42:15	13	男子30-34歳	14
87	1332	七字 良仁	ｼﾁｼﾞ ﾖｼﾄ	45	男	2:09:32	0:06:48	226	0:02:23	275	1:08:15	71	1:17:26	84	0:02:42	217	0:49:24	101	男子45-49歳	11
88	1059	伊勢 浩平	ｲｾ ｺｳﾍｲ	41	男	2:09:43	0:06:29	143	0:01:37	51	1:08:51	83	1:16:57	77	0:02:16	114	0:50:30	125	男子40-44歳	7
89	1060	伊関 洋介	ｲｾｷ ﾖｳｽｹ	32	男	2:09:55	0:07:17	338	0:02:02	147	1:08:57	85	1:18:16	107	0:02:12	94	0:49:27	103	男子30-34歳	15
90	1503	成毛 崇	ﾅﾙｹ ﾀｶｼ	43	男	2:09:55	0:06:04	84	0:01:43	66	1:08:55	84	1:16:42	73	0:02:04	78	0:51:09	143	男子40-44歳	8
91	1110	植村 崇明	ｳｴﾑﾗ ﾀｶｱｷ	43	男	2:09:55	0:06:02	76	0:01:53	104	1:13:35	203	1:21:30	174	0:02:31	165	0:45:54	41	男子40-44歳	9
92	1370	洲上 幹太	ｽﾉｳｴ ｶﾝﾀ	21	男	2:10:00	0:05:32	27	0:01:25	18	1:12:48	184	1:19:45	133	0:01:48	35	0:48:27	79	男子24歳以下	33
93	1394	高橋 悟	ﾀｶﾊｼ ｻﾄﾙ	40	男	2:10:10	0:06:24	136	0:02:01	138	1:10:13	119	1:18:38	115	0:02:45	231	0:48:47	85	男子40-44歳	10
94	1783	遥希 乾	ｲﾇｲ ﾊﾙｷ	20	男	2:10:27	0:06:37	174	0:01:42	64	1:12:42	181	1:21:01	165	0:01:56	56	0:47:30	64	男子24歳以下	34
95	1785	IKEKAME AKIRA	ｲｹｶﾒ ｱｷﾗ	20	男	2:10:29	0:06:00	69	0:01:37	51	1:10:27	126	1:18:04	99	0:01:34	15	0:50:51	135	男子24歳以下	35
96	1501	生井 和平	ﾅﾏｲ ｶｽﾞﾋﾗ	48	男	2:10:34	0:06:00	69	0:01:32	35	1:09:04	91	1:16:36	71	0:01:49	37	0:52:09	171	男子45-49歳	12
97	1091	今枝 佑介	ｲﾏｴﾀﾞ ﾕｳｽｹ	34	男	2:10:35	0:05:59	68	0:02:38	388	1:09:50	110	1:18:27	111	0:03:15	365	0:48:53	86	男子30-34歳	16
98	1117	内田 祐太	ｳﾁﾀﾞ ﾕｳﾀ	37	男	2:10:38	0:06:00	72	0:01:53	104	1:07:44	60	1:15:37	57	0:02:04	78	0:52:57	191	男子35-39歳	9
99	1684	山川 雅之	ﾔﾏｶﾜ ﾏｻﾕｷ	56	男	2:10:40	0:06:12	100	0:01:51	92	1:07:34	56	1:15:37	58	0:02:32	169	0:52:31	178	男子55-59歳	2
100	1045	石井 慶太	ｲｼｲ ｹｲﾀ	49	男	2:10:56	0:06:35	168	0:01:52	98	1:10:20	122	1:18:47	120	0:02:17	117	0:49:52	111	男子45-49歳	13
101	1354	鈴木 仁	ｽｽﾞｷ ｼﾞﾝ	46	男	2:10:57	0:06:22	129	0:02:39	390	1:09:22	101	1:18:23	109	0:02:55	288	0:49:39	106	男子45-49歳	14
102	1127	大倉 裕史	ｵｵｸﾗ ﾋﾛｼ	40	男	2:10:58	0:06:10	94	0:01:56	114	1:13:58	209	1:22:04	188	0:02:21	135	0:46:33	53	男子40-44歳	11
103	1286	近藤 希望	ｺﾝﾄﾞｳ ｷﾎﾞｳ	46	男	2:11:08	0:06:34	164	0:02:05	166	1:08:30	76	1:17:09	79	0:02:09	86	0:51:50	163	男子45-49歳	15
104	1791	齋藤 遥生	ｻｲﾄｳ ﾖｳｾｲ	19	男	2:11:09	0:05:58	61	0:01:29	27	1:10:11	118	1:17:38	92	0:01:46	29	0:51:45	160	男子24歳以下	36
105	1454	徳永 律	ﾄｸﾅｶﾞ ﾘﾂ	58	男	2:11:10	0:07:09	309	0:02:06	170	1:10:37	134	1:19:52	135	0:02:05	81	0:49:13	95	男子55-59歳	3
106	1434	丹野 憲仁	ﾀﾝﾉ ﾉﾘﾋﾄ	55	男	2:11:12	0:06:15	110	0:02:15	227	1:10:04	113	1:18:34	113	0:02:38	201	0:50:00	115	男子55-59歳	4
107	1184	加藤 幸司	ｶﾄｳ ｺｳｼﾞ	60	男	2:11:23	0:06:17	117	0:02:05	166	1:10:04	113	1:18:26	110	0:02:40	207	0:50:17	121	男子60-64歳	2
108	1794	侑也 舩橋	ﾌﾅﾊｼ ﾕｳﾔ	21	男	2:11:37	0:06:02	77	0:01:31	33	1:05:36	32	1:13:09	30	0:01:43	25	0:56:45	295	男子24歳以下	37
109	1448	鶴田 学	ﾂﾙﾀ ﾏﾅﾌﾞ	53	男	2:11:50	0:06:17	116	0:01:41	62	1:11:11	147	1:19:09	126	0:01:52	49	0:50:49	134	男子50-54歳	8
110	1788	安井 聡	ﾔｽｲ ｻﾄｼ	20	男	2:11:51	0:06:16	114	0:01:43	66	1:15:17	259	1:23:16	214	0:01:44	26	0:46:51	58	男子24歳以下	38
111	1217	木内 悠斗	ｷｳﾁ ﾕｳﾄ	20	男	2:11:57	0:05:39	36	0:01:34	41	1:07:26	55	1:14:39	44	0:02:27	157	0:54:51	244	男子24歳以下	39
112	1247	沓澤 篤史	ｸﾂｻﾞﾜ ｱﾂｼ	40	男	2:12:00	0:06:15	108	0:01:47	80	1:06:54	49	1:14:56	48	0:02:31	165	0:54:33	232	男子40-44歳	12
113	1192	金子 智彦	ｶﾈｺ ﾄﾓﾋｺ	37	男	2:12:16	0:06:42	191	0:03:21	572	1:04:08	17	1:14:11	41	0:03:21	403	0:54:44	243	男子35-39歳	10
114	1144	大橋 基	ｵｵﾊｼ ﾓﾄｲ	39	男	2:12:20	0:06:34	163	0:02:00	130	1:10:38	136	1:19:12	127	0:02:39	205	0:50:29	124	男子35-39歳	11
115	1108	植野 恵弘	ｳｴﾉ ﾖｼﾋﾛ	53	男	2:12:36	0:06:40	185	0:02:07	176	1:09:21	100	1:18:08	102	0:02:31	165	0:51:57	165	男子50-54歳	9
116	1715	吉村 貴由	ﾖｼﾑﾗ ｷﾖｼ	57	男	2:12:37	0:06:59	267	0:01:58	122	1:08:58	87	1:17:55	95	0:02:21	135	0:52:21	176	男子55-59歳	5
117	1158	岡本 太郎	ｵｶﾓﾄ ﾀﾛｳ	36	男	2:12:39	0:06:26	138	0:02:00	130	1:13:51	207	1:22:17	193	0:02:27	157	0:47:55	71	男子35-39歳	12
118	1203	神谷 貴彦	ｶﾐﾔ ﾀｶﾋｺ	40	男	2:12:41	0:06:31	148	0:01:54	107	1:07:43	59	1:16:08	67	0:02:20	133	0:54:13	222	男子40-44歳	13
118	1323	佐貫 伸行	ｻﾇｷ ﾉﾌﾞﾕｷ	49	男	2:12:41	0:06:47	222	0:02:12	209	1:08:31	77	1:17:30	87	0:02:19	127	0:52:52	189	男子45-49歳	16
120	1051	石田 貴裕	ｲｼﾀﾞ ﾀｶﾋﾛ	31	男	2:12:43	0:06:46	215	0:02:07	176	1:12:55	190	1:21:48	181	0:02:38	201	0:48:17	76	男子30-34歳	17
121	1720	蓬田 直生	ﾖﾓｷﾞﾀﾞ ﾅｵｷ	23	男	2:12:52	0:06:32	155	0:02:11	200	1:06:35	40	1:15:18	53	0:01:51	46	0:55:43	264	男子24歳以下	40
122	1499	長山 勝彦	ﾅｶﾞﾔﾏ ｶﾂﾋｺ	51	男	2:13:03	0:06:30	146	0:02:12	209	1:09:25	103	1:18:07	101	0:02:19	127	0:52:37	182	男子50-54歳	10
123	1387	高田 友則	ﾀｶﾀﾞ ﾄﾓﾉﾘ	43	男	2:13:05	0:06:03	78	0:03:59	640	1:16:14	289	1:26:16	290	0:04:26	594	0:42:23	15	男子40-44歳	14
124	1657	彌勒寺 寛之	ﾐﾛｸｼﾞ ﾋﾛﾕｷ	41	男	2:13:13	0:06:18	120	0:02:34	360	1:07:45	61	1:16:37	72	0:02:47	242	0:53:49	213	男子40-44歳	15
125	1425	田中 遼平	ﾀﾅｶ ﾘｮｳﾍｲ	37	男	2:13:17	0:06:54	251	0:02:17	236	1:08:50	82	1:18:01	98	0:02:39	205	0:52:37	182	男子35-39歳	13
126	1023	阿部 俊	ｱﾍﾞ ｼｭﾝ	36	男	2:13:18	0:05:45	45	0:02:03	151	1:14:17	224	1:22:05	189	0:02:50	260	0:48:23	78	男子35-39歳	14
127	1107	上埜 友貴	ｳｴﾉ ﾕｳｷ	22	男	2:13:19	0:06:43	200	0:02:01	138	1:08:48	80	1:17:32	90	0:02:40	207	0:53:07	195	男子24歳以下	41
128	1750	岡本 夏樹	ｵｶﾓﾄ ﾅﾂｷ	38	男	2:13:27	0:06:42	198	0:01:21	8	1:12:27	175	1:20:30	151	0:01:27	6	0:51:30	153	男子35-39歳	15
129	1595	堀内 章広	ﾎﾘｳﾁ ｱｷﾋﾛ	53	男	2:13:35	0:06:56	254	0:02:55	469	1:06:31	39	1:16:22	69	0:04:00	544	0:53:13	197	男子50-54歳	11
130	1461	富田 源浩	ﾄﾐﾀ ﾓﾄﾋﾛ	46	男	2:13:46	0:06:51	236	0:02:27	303	1:10:32	130	1:19:50	134	0:03:31	453	0:50:25	122	男子45-49歳	17
131	1740	野尻 剛二郎	ﾉｼﾞﾘ ｺｳｼﾞﾛｳ	57	男	2:13:59	0:06:10	93	0:02:04	161	1:14:35	240	1:22:49	203	0:02:24	147	0:48:46	84	男子55-59歳	6
132	1525	信田 篤志	ﾉﾌﾞﾀ ｱﾂｼ	50	男	2:14:10	0:05:58	63	0:01:55	111	1:12:00	168	1:19:53	137	0:02:02	71	0:52:15	174	男子50-54歳	12
133	1545	林 和幸	ﾊﾔｼ ｶｽﾞﾕｷ	47	男	2:14:15	0:06:39	182	0:02:42	399	1:10:07	116	1:19:28	129	0:03:15	365	0:51:32	154	男子45-49歳	18
134	1074	伊藤 たけし	ｲﾄｳ ﾀｹｼ	59	男	2:14:20	0:06:31	152	0:02:18	242	1:11:21	152	1:20:10	144	0:02:41	211	0:51:29	152	男子55-59歳	7
135	1466	長井 隆	ﾅｶﾞｲ ﾀｶｼ	29	男	2:14:21	0:06:35	166	0:02:21	257	1:11:10	146	1:20:06	143	0:02:10	90	0:52:05	169	男子25-29歳	8
136	1191	金子 英一	ｶﾈｺ ｴｲｲﾁ	58	男	2:14:21	0:06:47	220	0:02:26	296	1:15:23	261	1:24:36	247	0:02:41	211	0:47:04	61	男子55-59歳	8
137	1408	竹本 禄是	ﾀｹﾓﾄ ﾛｸﾖｼ	47	男	2:14:29	0:06:25	137	0:01:38	58	1:11:11	147	1:19:14	128	0:02:15	109	0:53:00	192	男子45-49歳	19
138	1495	中村 達矢	ﾅｶﾑﾗ ﾀﾂﾔ	40	男	2:14:40	0:07:13	327	0:02:21	257	1:14:20	225	1:23:54	224	0:02:17	117	0:48:29	80	男子40-44歳	16
139	1027	荒川 哲夫	ｱﾗｶﾜ ﾃﾂｵ	46	男	2:14:42	0:05:59	65	0:02:11	200	1:12:49	185	1:20:59	163	0:02:45	231	0:50:58	137	男子45-49歳	20
140	1763	小口 崇紘	ｺｸﾞﾁ ﾀｶﾋﾛ	43	男	2:14:48	0:06:24	135	0:02:00	130	1:09:07	93	1:17:31	88	0:02:59	303	0:54:18	226	男子40-44歳	17
141	1507	西 理広	ﾆｼ ﾐﾁﾋﾛ	40	男	2:14:49	0:05:40	39	0:02:01	138	1:14:15	220	1:21:56	184	0:02:48	245	0:50:05	118	男子40-44歳	18
142	1808	Ogasawara Osamu	ｵｶﾞｻﾜﾗ ｵｻﾑ	50	男	2:14:49	0:06:20	124	0:01:47	80	1:13:32	199	1:21:39	177	0:01:52	49	0:51:18	146	男子50-54歳	13
143	1764	常見 直明	ﾂﾈﾐ ﾅｵｱｷ	51	男	2:14:54	0:06:46	216	0:01:37	51	1:14:28	232	1:22:51	205	0:02:08	84	0:49:55	112	男子50-54歳	14
144	1278	小林 栄治	ｺﾊﾞﾔｼ ｴｲｼﾞ	49	男	2:15:01	0:07:08	307	0:02:52	450	1:12:22	174	1:22:22	195	0:03:32	457	0:49:07	90	男子45-49歳	21
145	1655	宮本 康二	ﾐﾔﾓﾄ ｺｳｼﾞ	55	男	2:15:07	0:06:22	129	0:02:23	275	1:17:22	335	1:26:07	285	0:02:44	226	0:46:16	49	男子55-59歳	9
146	1616	松井 仁	ﾏﾂｲ ｼﾞﾝ	48	男	2:15:08	0:06:13	105	0:02:35	367	1:12:28	176	1:21:16	168	0:03:00	308	0:50:52	136	男子45-49歳	22
147	1190	金山 洋三	ｶﾅﾔﾏ ﾖｳｿﾞｳ	34	男	2:15:10	0:05:53	51	0:02:18	242	1:13:26	197	1:21:37	176	0:02:16	114	0:51:17	145	男子30-34歳	18
148	1234	木村 勝臣	ｷﾑﾗ ｶﾂｵﾐ	58	男	2:15:14	0:07:30	393	0:02:29	316	1:09:09	95	1:19:08	125	0:02:52	271	0:53:14	198	男子55-59歳	10
149	1241	木本 宇宙	ｷﾓﾄ ｳﾁｭｳ	43	男	2:15:16	0:06:34	161	0:01:52	98	1:11:57	167	1:20:23	149	0:02:38	201	0:52:15	174	男子40-44歳	19
150	1424	田中 康志	ﾀﾅｶ ﾔｽｼ	44	男	2:15:26	0:06:56	256	0:02:02	147	1:09:55	111	1:18:53	121	0:02:19	127	0:54:14	223	男子40-44歳	20
151	1061	伊勢谷 竜司	ｲｾﾔ ﾘｭｳｼﾞ	44	男	2:15:27	0:06:33	158	0:02:01	138	1:14:03	212	1:22:37	198	0:03:01	311	0:49:49	109	男子40-44歳	21
152	1588	古川 新	ﾌﾙｶﾜ ｱﾗﾀ	34	男	2:15:34	0:06:52	244	0:02:26	296	1:08:48	80	1:18:06	100	0:02:51	265	0:54:37	236	男子30-34歳	19
153	1322	里見 憲一	ｻﾄﾐ ｹﾝｲﾁ	40	男	2:15:35	0:06:53	248	0:02:58	489	1:11:41	161	1:21:32	175	0:03:16	377	0:50:47	133	男子40-44歳	22
154	1729	和田 基	ﾜﾀﾞ ﾓﾄｲ	53	男	2:15:36	0:06:38	175	0:02:03	151	1:11:13	150	1:19:54	139	0:02:14	102	0:53:28	204	男子50-54歳	15
155	1792	齋藤 瑠星	ｻｲﾄｳ ﾘｭｳｾｲ	22	男	2:15:50	0:06:13	104	0:01:29	27	1:12:49	185	1:20:31	152	0:01:34	15	0:53:45	210	男子24歳以下	42
156	1726	和久 諭	ﾜｸ ｻﾄｼ	45	男	2:16:05	0:05:54	52	0:02:48	430	1:13:42	206	1:22:24	196	0:03:15	365	0:50:26	123	男子45-49歳	23
157	1437	千葉 修	ﾁﾊﾞ ｵｻﾑ	24	男	2:16:15	0:06:14	106	0:01:37	51	1:12:06	169	1:19:57	140	0:02:03	75	0:54:15	224	男子24歳以下	43
158	1786	林 大志朗	ﾊﾔｼ ﾀｲｼﾛｳ	19	男	2:16:16	0:06:03	79	0:01:25	18	1:19:41	413	1:27:09	327	0:02:04	78	0:47:03	60	男子24歳以下	44
159	1728	和田 勝美	ﾜﾀﾞ ｶﾂﾐ	60	男	2:16:21	0:07:04	292	0:02:22	265	1:08:01	67	1:17:27	85	0:03:00	308	0:55:54	269	男子60-64歳	3
160	1593	星野 輝	ﾎｼﾉ ﾋｶﾙ	23	男	2:16:41	0:05:31	23	0:01:23	14	1:11:19	151	1:18:13	106	0:01:47	31	0:56:41	292	男子24歳以下	45
161	1389	高野 浩二	ﾀｶﾉ ｺｳｼﾞ	45	男	2:16:49	0:07:55	499	0:02:00	130	1:09:44	109	1:19:39	131	0:02:01	68	0:55:09	252	男子45-49歳	24
162	1439	月井 隆行	ﾂｷｲ ﾀｶﾕｷ	52	男	2:16:50	0:06:21	127	0:02:25	286	1:14:36	241	1:23:22	215	0:02:52	271	0:50:36	126	男子50-54歳	16
163	1056	石丸 伸二	ｲｼﾏﾙ ｼﾝｼﾞ	38	男	2:16:51	0:06:47	221	0:01:57	121	1:14:08	215	1:22:52	206	0:01:57	58	0:52:02	168	男子35-39歳	16
164	1352	鈴木 篤志	ｽｽﾞｷ ｱﾂｼ	51	男	2:16:55	0:06:11	96	0:02:14	224	1:08:59	88	1:17:24	83	0:02:35	187	0:56:56	297	男子50-54歳	17
165	1587	文元 慶彦	ﾌﾐﾓﾄ ﾖｼﾋｺ	21	男	2:17:07	0:05:55	58	0:02:07	176	1:12:10	170	1:20:12	146	0:02:12	94	0:54:43	241	男子24歳以下	46
166	1255	桑島 宏和	ｸﾜｼﾞﾏ ﾋﾛｶｽﾞ	48	男	2:17:08	0:07:03	286	0:01:58	122	1:10:52	139	1:19:53	138	0:02:34	181	0:54:41	240	男子45-49歳	25
167	1335	篠原 洋平	ｼﾉﾊﾗ ﾖｳﾍｲ	42	男	2:17:23	0:06:56	257	0:02:01	138	1:08:19	73	1:17:16	81	0:02:14	102	0:57:53	324	男子40-44歳	23
168	1560	平野 龍一	ﾋﾗﾉ ﾘｮｳｲﾁ	49	男	2:17:25	0:06:50	234	0:02:35	367	1:10:35	132	1:20:00	141	0:03:03	323	0:54:22	229	男子45-49歳	26
169	1320	佐藤 吉和	ｻﾄｳ ﾖｼｶｽﾞ	46	男	2:17:27	0:07:09	311	0:02:36	375	1:09:01	89	1:18:46	119	0:02:58	300	0:55:43	264	男子45-49歳	27
170	1782	川又 諒介	ｶﾜﾏﾀ ﾘｮｳｽｹ	22	男	2:17:31	0:06:10	95	0:01:45	74	1:15:01	255	1:22:56	209	0:01:52	49	0:52:43	186	男子24歳以下	47
171	1052	石田 雅彦	ｲｼﾀﾞ ﾏｻﾋｺ	49	男	2:17:31	0:06:44	205	0:02:28	311	1:12:47	182	1:21:59	186	0:03:33	459	0:51:59	166	男子45-49歳	28
172	1376	関口 秀之	ｾｷｸﾞﾁ ﾋﾃﾞﾕｷ	51	男	2:17:37	0:06:22	128	0:02:50	443	1:12:41	180	1:21:53	183	0:02:59	303	0:52:45	188	男子50-54歳	18
173	1104	岩渕 博史	ｲﾜﾌﾞﾁ ﾋﾛｼ	59	男	2:17:45	0:06:41	188	0:02:37	383	1:08:29	75	1:17:47	94	0:03:14	360	0:56:44	294	男子55-59歳	11
174	1399	滝 重幸	ﾀｷ ｼｹﾞﾕｷ	59	男	2:17:48	0:07:01	278	0:02:26	296	1:11:09	145	1:20:36	153	0:02:33	177	0:54:39	238	男子55-59歳	12
175	1128	大澤 集	ｵｵｻﾜ ｼｭｳ	42	男	2:17:57	0:06:40	186	0:02:34	360	1:11:29	155	1:20:43	156	0:03:17	381	0:53:57	218	男子40-44歳	24
176	1682	谷津 哲平	ﾔﾂ ﾃｯﾍﾟｲ	44	男	2:17:59	0:07:01	275	0:02:52	450	1:14:32	235	1:24:25	240	0:03:23	414	0:50:11	119	男子40-44歳	25
177	1515	西宮 正人	ﾆｼﾐﾔ ﾏｻﾄ	39	男	2:17:59	0:06:15	111	0:02:29	316	1:18:22	373	1:27:06	324	0:02:54	282	0:47:59	73	男子35-39歳	17
178	1552	樋口 敏史	ﾋｸﾞﾁ ｻﾄｼ	37	男	2:18:03	0:06:36	172	0:02:14	224	1:10:14	120	1:19:04	124	0:02:36	194	0:56:23	280	男子35-39歳	18
179	1239	木村 正典	ｷﾑﾗ ﾏｻﾉﾘ	40	男	2:18:06	0:06:57	260	0:02:31	331	1:14:30	234	1:23:58	226	0:03:25	428	0:50:43	129	男子40-44歳	26
180	1223	北山 毅	ｷﾀﾔﾏ ﾀｹｼ	59	男	2:18:23	0:07:06	297	0:02:23	275	1:10:50	138	1:20:19	148	0:02:26	155	0:55:38	262	男子55-59歳	13
181	1692	山田 浩司	ﾔﾏﾀﾞ ｺｳｼﾞ	57	男	2:18:43	0:06:53	246	0:02:32	335	1:17:30	341	1:26:55	314	0:02:51	265	0:48:57	88	男子55-59歳	14
182	1042	伊佐 政隆	ｲｻ ﾏｻﾀｶ	39	男	2:18:56	0:07:17	340	0:01:58	122	1:12:30	177	1:21:45	179	0:02:18	123	0:54:53	245	男子35-39歳	19
183	1340	清水 理	ｼﾐｽﾞ ｵｻﾑ	55	男	2:18:57	0:07:25	372	0:02:42	399	1:14:54	253	1:25:01	255	0:02:32	169	0:51:24	149	男子55-59歳	15
184	1489	中野 哲	ﾅｶﾉ ｻﾄﾙ	59	男	2:19:09	0:06:51	241	0:02:17	236	1:10:34	131	1:19:42	132	0:03:08	336	0:56:19	279	男子55-59歳	16
185	1219	菊池 卓哉	ｷｸﾁ ﾀｸﾔ	37	男	2:19:10	0:06:42	195	0:02:27	303	1:09:33	105	1:18:42	117	0:03:23	414	0:57:05	301	男子35-39歳	20
186	1146	大美 周一	ｵｵﾐ ｼｭｳｲﾁ	58	男	2:19:10	0:07:14	328	0:02:25	286	1:17:19	330	1:26:58	316	0:02:34	181	0:49:38	105	男子55-59歳	17
187	1450	土居 誠司	ﾄﾞｲ ｾｲｼﾞ	50	男	2:19:16	0:07:47	461	0:02:20	254	1:14:34	238	1:24:41	249	0:02:49	252	0:51:46	161	男子50-54歳	19
188	1402	武田 幸寿	ﾀｹﾀﾞ ｺｳｼﾞｭ	42	男	2:19:19	0:06:50	232	0:01:52	98	1:09:30	104	1:18:12	105	0:02:12	94	0:58:55	353	男子40-44歳	27
189	1043	井澤 弘	ｲｻﾞﾜ ﾋﾛｼ	38	男	2:19:24	0:06:51	239	0:02:07	176	1:16:09	284	1:25:07	259	0:02:53	276	0:51:24	149	男子35-39歳	21
190	1458	轟 健一郎	ﾄﾄﾞﾛｷ ｹﾝｲﾁﾛｳ	45	男	2:19:42	0:06:46	214	0:01:49	89	1:14:16	223	1:22:51	204	0:02:21	135	0:54:30	231	男子45-49歳	29
191	1580	藤谷 伸一	ﾌｼﾞﾀﾆ ｼﾝｲﾁ	49	男	2:19:44	0:06:36	169	0:03:30	600	1:14:01	211	1:24:07	231	0:03:25	428	0:52:12	172	男子45-49歳	30
192	1487	中西 昭博	ﾅｶﾆｼ ｱｷﾋﾛ	40	男	2:20:01	0:07:31	397	0:02:17	236	1:14:08	215	1:23:56	225	0:03:02	315	0:53:03	193	男子40-44歳	28
193	1511	西田 泰典	ﾆｼﾀﾞ ﾔｽﾉﾘ	34	男	2:20:09	0:06:32	154	0:02:08	185	1:17:44	352	1:26:24	296	0:02:37	197	0:51:08	142	男子30-34歳	20
194	1589	古山 清人	ﾌﾙﾔﾏ ｷﾖﾄ	48	男	2:20:09	0:07:01	280	0:02:17	236	1:11:31	156	1:20:49	159	0:02:49	252	0:56:31	285	男子45-49歳	31
195	1261	河野 篤志	ｺｳﾉ ｱﾂｼ	54	男	2:20:12	0:06:36	171	0:01:48	84	1:18:25	374	1:26:49	312	0:02:40	207	0:50:43	129	男子50-54歳	20
196	1181	加藤 彰宏	ｶﾄｳ ｱｷﾋﾛ	44	男	2:20:14	0:07:16	337	0:02:02	147	1:16:04	282	1:25:22	266	0:03:08	336	0:51:44	159	男子40-44歳	29
197	1088	井原 隆	ｲﾊﾗ ﾕﾀｶ	37	男	2:20:15	0:06:13	101	0:02:03	151	1:17:14	322	1:25:30	270	0:02:33	177	0:52:12	172	男子35-39歳	22
198	1822	三浦 孝之	ﾐｳﾗ ﾀｶﾕｷ	51	男	2:20:30	0:07:02	284	0:02:08	185	1:14:52	251	1:24:02	229	0:02:35	187	0:53:53	215	男子50-54歳	21
199	1165	奥村 誠章	ｵｸﾑﾗ ﾉﾌﾞｱｷ	51	男	2:20:31	0:06:38	176	0:02:10	192	1:14:38	244	1:23:26	218	0:02:32	169	0:54:33	232	男子50-54歳	22
199	1130	大島 柊	ｵｵｼﾏ ｼｭｳ	24	男	2:20:31	0:06:54	252	0:01:54	107	1:13:32	199	1:22:20	194	0:02:37	197	0:55:34	261	男子24歳以下	48
201	1665	持田 敬司	ﾓﾁﾀﾞ ｹｲｼﾞ	38	男	2:20:39	0:06:42	195	0:02:22	265	1:19:51	422	1:28:55	386	0:02:43	222	0:49:01	89	男子35-39歳	23
202	1260	黄田 立文	ｺｳﾀﾞ ﾘﾂﾌﾞﾝ	53	男	2:20:42	0:07:38	419	0:02:06	170	1:16:33	296	1:26:17	291	0:03:24	421	0:51:01	138	男子50-54歳	23
203	1076	伊藤 寿浩	ｲﾄｳ ﾄｼﾋﾛ	47	男	2:20:45	0:06:33	157	0:02:23	275	1:18:19	372	1:27:15	331	0:03:18	385	0:50:12	120	男子45-49歳	32
204	1174	甲斐 俊輔	ｶｲ ｼｭﾝｽｹ	50	男	2:20:53	0:06:44	209	0:03:22	575	1:15:46	274	1:25:52	276	0:03:59	539	0:51:02	140	男子50-54歳	24
