Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Run
DNF	54	黒尾丸 智拓	九州共立大学	1998		0:20:31	0:00:27			
DNF	55	古謝 孝明	北海道トライアスロン連合	1994		0:20:33	0:00:27			
DNF	51	小林 諒祐	九州大学	1997		0:20:48	0:00:27			
DNF	29	田中 文也	神奈川県トライアスロン連合	1991		0:21:21	0:00:23			
DNF	47	高浜 邦晃	福岡県トライアスロン連合	1979		0:21:38	0:00:25			
DNF	40	前田 隼矢	兵庫県トライアスロン協会	1988		0:21:43	0:00:25			
DNF	36	枡田 貴理丸	トライアスロンクラブアルファ/三重	1996		0:21:44	0:00:23			
DNF	58	藤井 嵩大	高知県立大学	1998		0:22:20	0:00:22			
DNF	52	佐山 拓海	東北大学	1998		0:22:21	0:00:23			
DNF	44	吉岡 大河	早稲田大学	1998		0:22:23	0:00:23			
DNF	53	杉山 太一	静岡県トライアスロン協会	1984		0:22:24	0:00:24			
DNF	57	菅沼 伸哉	沖縄県トライアスロン連合	1982		0:25:10	0:00:31			
DNF	56	中岡 史裕	福井県トライアスロン協会	1990		0:26:20				
